statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-18;Druckerzeugnisse, besp. Ton-, Bild- u. Datenträger;125,5;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-14;Bekleidung;108,4;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-11;Getränke;117,5;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-24;Metalle;113,9;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-23;Glas und -waren, Keramik, Steine und Erden;132;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-36;Wasser und Dienstleistungen der Wasserversorgung;116,9;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-10;Nahrungsmittel und Futtermittel;131,1;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-19;Kokereierzeugnisse und Mineralölerzeugnisse;121,4;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-06;Erdöl und Erdgas;135,4;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-27;Elektrische Ausrüstungen;...;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-21;Pharmazeutische und ähnliche Erzeugnisse;108,5;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-14;Bekleidung;...;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-08;Steine und Erden, sonstige Bergbauerzeugnisse;140;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
